Metabolite,Log2FC,AveExpr,t.val,p.val,p.adj,B,log2(MS55_01),log2(MS55_02),log2(MS55_03),log2(MS55_04),log2(MS55_09),log2(MS55_10),log2(MS55_11),log2(MS55_12),log2(MS55_17),log2(MS55_18),log2(MS55_19),log2(MS55_20),log2(MS55_25),log2(MS55_26),log2(MS55_27),log2(MS55_28),log2(MS55_33),log2(MS55_34),log2(MS55_35),log2(MS55_36),log2(MS55_41),log2(MS55_42),log2(MS55_43),log2(MS55_44)
valine-d8,0.1297208547498805,30.940996145301764,4.780404269410908,1.829490728262168e-5,3.153693541099547e-5,0.8847011478133506,30.831031416164876,30.919472967418507,30.898759341172976,30.876661257673792,30.956824735278484,30.93673081085653,31.000164811771484,31.075349473523232,30.778758107844656,30.818680190168603,30.75472791891658,30.811660397979225,30.953078020365854,30.954956778786514,30.88892442596097,30.89639696255093,30.825052264203496,30.706978509779056,30.766743382467787,30.824862588593685,30.938264984385505,30.962733162697702,30.93374846177036,30.872865971434194
5-aminovaleric acid*,0.23889388046576698,25.810407402442454,4.337129099688953,7.806537202987154e-5,1.2394589769655043e-4,-0.5361773752921373,25.742145843224687,25.72586553762681,25.626846901039077,25.56552355871968,25.96095138132252,25.895786276825792,25.835308224945514,25.842649224564287,25.5744261421722,25.496764948977773,25.617836271843704,25.656578633470094,25.929879488880765,25.86400894481548,25.80907395961937,25.8674457670154,25.520500184612278,25.417209965001295,25.491728590805497,25.455666442864025,25.691591994656974,25.681140030693836,25.650764389051247,25.729219903555126
hypoxanthine,-0.5037856193327208,21.586038355736672,-1.4231452158315023,0.1614411795462543,0.1849421107460255,-7.57720663284021,22.300118380071652,21.479558726984145,21.223123938296098,20.805117099995556,23.50173242587325,22.48453757533602,21.594360596489174,21.13603864070655,20.807178659538895,21.691585859315616,21.42942508904428,20.818743176547617,21.276348103033815,21.30914348069928,21.221418278603714,20.828047617279037,23.130268660682,23.046585217851685,23.504444027734795,22.770644912806247,20.98164950474905,20.98750324328202,20.746591750158835,20.89399510066518
IMP,0.6598652472872288,19.15404053890756,4.595930168699081,3.363484582472244e-5,5.585235866307121e-5,0.2870957920550694,19.48315246488914,19.213304274830758,19.232472971949985,19.315798182423933,19.468427805635162,19.3597368310077,19.537743948201975,19.227866896208408,18.994259113001394,18.784355757401887,18.594659999114874,18.920465160302484,19.836932012825944,19.807826440529098,19.85745055622919,19.759859043610344,18.379856736845966,18.601222292206558,18.881630536091397,18.807647968655704,19.58878520950649,19.608150499212865,19.650422277686147,19.42400690450744
indole,-0.9835269748658781,19.34993260170537,-11.227695499184927,9.01954481687725e-15,2.5913295426266386e-14,22.390254396697035,20.363004939466258,20.36446842626329,20.423903718660203,20.186483911804093,19.42924456774557,19.202654343003076,18.758798649022825,18.761743720262626,19.94936725806621,19.848711096761974,19.84161077006378,19.984393988832785,19.011632385863056,19.081020782291777,19.264809556286686,19.08625552918857,20.12690138152145,19.93877372742197,20.12086572986241,20.001727050288995,19.192096182815213,18.987547285004144,19.15937715555153,19.412708143587775
indole-3-lactate,-1.2096486089455851,18.529627773953198,-8.463720015340543,6.185445702462234e-11,1.4731127265074533e-10,13.463358448920921,19.786255585830475,19.60240876764222,19.855689121204765,19.517128959006047,18.361155821479993,18.672206043200386,17.388375881539822,18.01123381107771,19.15734064719597,19.185911634390685,19.158335276764838,19.09260341700863,18.098975842812568,17.750137363011557,17.931569280861194,17.46465534900468,19.219223347382332,19.241705757116602,19.42898539549995,18.677180955991247,18.44316524086231,18.08792794125568,18.465956013452285,18.731626969128595
inosine,-0.5282146685085358,19.629570929041623,-3.986128766328718,2.379849555290834e-4,3.68164760262941e-4,-1.6195986839833134,19.915450892025714,19.944698385317558,19.858717327516523,19.773562126165604,18.823279789372936,19.069724069335198,18.92476628023393,19.287795649278653,19.314920238442426,19.577555673278148,19.362605746005386,19.566021859544964,19.426048843166942,19.279128088797506,19.320723193795267,19.717185958122236,19.864716454921844,19.56758853726503,21.0884061780265,19.672870624779005,19.39593195742618,19.01828925054825,19.19985158468836,19.705813356420833
isoleucine,-0.6589667816561473,28.656841317051825,-9.948997262203504,4.787372924881501e-13,1.2378778562907883e-12,18.370863112803576,29.301665095280246,29.282218656414994,29.25443628840357,29.06676640338369,28.67048748539731,28.546755054500306,28.246827525389843,28.452959070456988,28.954279718174476,29.026311757009527,28.990872756085103,29.02523672200831,28.43851777957738,28.52604120221632,28.446592905809563,28.400993891589632,29.250220727551667,29.150776183387514,29.374814894046466,29.1219434546174,28.721340461983388,28.36919703431321,28.418660328348846,28.653568536906477
isovalerylcarnitine,0.5435141879361005,24.786785066905583,5.772905511921572,6.332768594150374e-7,1.2459033864578455e-6,4.210691570574806,24.582817653616733,24.645421513910275,24.797542621811118,24.574820772479455,24.576418034637378,24.671938683616133,24.631781385852133,24.757162886608832,24.11176479831506,24.12934114551679,24.034364085236486,24.139007422094775,24.75404741665078,24.61224718021435,24.77522630382926,24.806530718281977,23.89124477755207,23.924268668015408,24.016594317434084,23.777741330680136,24.931889566169016,24.538647293594636,25.033095653953364,25.058114238487853
KMV,-0.14790104911224589,22.095917629876887,-1.1330269260683792,0.26307399636381806,0.29392835396204364,-7.942788677494852,22.439634201467715,22.21341018844484,22.24523142829968,21.84874571116211,22.11544599847387,22.191277019483373,21.79122012404095,21.5462199865225,21.38322962842488,21.81871183364354,21.73684299710967,21.80334789821672,21.89163457315022,22.338869811660427,22.135027290913023,21.767030386211022,22.685463841823367,22.721339095583335,23.03634706332745,22.517264782649036,22.31407579051107,22.250337276727972,22.088634413670714,22.244983409440216
